num,us,ms,count,enable,1k,Gx,Gy,Gz
514,51,-172,-73,-866,-120,5295,-252,91
515,51,-171,-73,-866,-121,5295,-250,91
516,51,-171,-74,-866,-121,5295,-251,92
517,51,-172,-73,-866,-122,5292,-249,90
518,51,-172,-73,-865,-120,5295,-250,91
519,51,-171,-73,-866,-120,5295,-252,92
520,51,-172,-72,-866,-121,5296,-249,91
521,52,-172,-72,-866,-115,5293,-248,89
522,52,-173,-73,-865,-121,5293,-250,90
523,52,-173,-73,-866,-120,5294,-251,90
524,52,-172,-72,-866,-120,5293,-251,90
525,52,-171,-73,-866,-119,5296,-249,90
526,52,-171,-74,-867,-119,5293,-250,89
527,52,-172,-73,-865,-120,5294,-248,90
528,52,-172,-73,-867,-120,5296,-250,89
529,52,-172,-73,-866,-119,5294,-250,90
530,52,-172,-73,-866,-118,5294,-250,90
531,53,-171,-73,-865,-113,5296,-248,89
532,53,-170,-71,-865,-114,5293,-249,88
533,53,-170,-72,-864,-114,5293,-247,89
534,53,-171,-73,-866,-117,5290,-249,90
535,53,-171,-73,-866,-119,5291,-249,90
536,53,-173,-73,-867,-117,5295,-247,89
537,53,-172,-72,-866,-116,5290,-249,89
538,53,-172,-73,-865,-116,5290,-248,90
539,53,-171,-73,-866,-117,5293,-249,89
540,53,-172,-72,-865,-116,5295,-248,89
541,54,-172,-72,-866,-115,5293,-248,89
542,54,-173,-73,-866,-116,5292,-248,88
543,54,-173,-72,-867,-115,5294,-248,89
544,54,-172,-73,-866,-115,5288,-248,89
545,54,-172,-71,-866,-115,5292,-248,89
546,54,-173,-72,-866,-115,5295,-245,89
547,54,-172,-72,-865,-114,5292,-249,89
548,54,-171,-71,-866,-113,5294,-248,89
549,54,-171,-72,-865,-115,5292,-248,90
550,54,-172,-71,-865,-114,5291,-250,90
551,55,-171,-73,-865,-113,5296,-248,89
552,55,-170,-71,-865,-114,5293,-249,88
553,55,-170,-72,-864,-114,5293,-247,89
554,55,-172,-72,-865,-115,5292,-247,89
555,55,-172,-72,-865,-114,5293,-249,89
556,55,-171,-74,-867,-114,5295,-249,90
557,55,-172,-72,-866,-114,5293,-249,90
558,55,-171,-72,-865,-113,5291,-250,89
559,55,-171,-72,-865,-114,5297,-250,91
560,55,-172,-71,-865,-114,5297,-247,89
561,56,-171,-73,-865,-114,5295,-250,89
562,56,-171,-73,-867,-114,5294,-248,91
563,56,-173,-73,-866,-114,5294,-249,90
564,56,-172,-72,-866,-114,5295,-250,91
565,56,-171,-73,-865,-113,5295,-247,91
566,56,-172,-73,-866,-114,5297,-247,90
567,56,-172,-74,-866,-116,5295,-251,91
568,56,-172,-73,-866,-115,5295,-249,91
569,56,-173,-73,-867,-114,5295,-249,90
570,56,-173,-73,-867,-114,5297,-248,89
571,57,-172,-73,-866,-112,5298,-249,90
572,57,-172,-73,-866,-112,5295,-250,90
573,57,-172,-73,-866,-114,5294,-249,91
574,57,-171,-73,-866,-115,5296,-248,91
575,57,-173,-73,-866,-114,5297,-249,91
576,57,-173,-73,-867,-113,5295,-250,90
577,57,-172,-73,-866,-114,5295,-249,90
